"content","pos","meaning","examples","collocations","mode"
"Gasp for breath","v. phr.","喘氣；呼吸困難","She came to the surface, **gasping for breath** after being underwater for a minute.","** 常用於劇烈運動後或溺水時","recognition"
"suggest / recommend / advise","","建議 (動詞三兄弟用法：suggest, recommend, advise)","","","production"
"have a knack for","v. phr.","有...的本領/天賦","He **has a knack for** making people feel uncomfortable with his awkward jokes.","** have a knack for + N.|V-ing","recognition"
"blessing","","生活中的福音/好處","","** 指帶來快樂或好處的人事物","production"
"cryptographically","adv.","加密地","The data is **cryptographically** secured to ensure that only authorized users can access it.","** crypto- (秘密|加密) + -graphy (書寫)","recognition"
"catch someone red-handed","phr.","當場被逮住","The thief was **caught red-handed** while trying to break into the car.","** 指在犯罪或做錯事現場被抓到","recognition"
"nothing short of","phr.","簡直就是；不亞於","The team's victory in the championship was **nothing short of** a miracle.","** 強調程度，表示「除了...之外別無其他」","recognition"
"pay homage to","v. phr.","向...致敬","The movie's opening scene **pays homage to** classic films of the 1950s.","** 常指在藝術作品中向先輩致敬","recognition"
"It is high time that...","grammar","該是時候做某事了","**It is high time that** we **started** studying for the final exam.","","recognition"
"haute","adj.","高級的；上流的","The magazine features the latest trends in **haute** couture from Paris.","** haute couture (高級訂製服)|haute cuisine (高級料理)","recognition"
"radioactive","adj.","具有放射性的","The waste from the power plant is highly **radioactive** and must be handled with care.","** radioactive decay (放射性衰變)","recognition"
"exoplanets","n.","系外行星","Astronomers are using advanced telescopes to search for **exoplanets** that could support life.","** exo- (外部) + planet (行星)","recognition"
"attentive to","adj. phr.","體貼的；專注於...的需求","A good nurse must be **attentive to** the needs of their patients.","** attend (參加|照顧) 的形容詞，指細心觀察並照顧","recognition"
"apocalyptic weapons","n. phr.","末日武器","The novel describes a future world destroyed by **apocalyptic weapons**.","** apocalypse (世界末日)","recognition"
"last-minute studying / cramming","","臨時抱佛腳","","** cram (塞進去|死記硬背)","production"
"be linked to / be connected to / be related to","","與...有關聯；與...連結","","** 三者皆可表示關聯，介係詞均搭配 to","production"
"Provenance","n.","(藝術品/文物)出處；起源","The museum is investigating the **provenance** of the painting to ensure it wasn't stolen.","** 常用於藝術或法律，追溯物品的來源歷史","recognition"
"be mapped to","v. phr.","映射至；對應至","In the software, each button can **be mapped to** a specific function.","** 常見於資訊科學或數學領域","recognition"
"provoke controversy","v. phr.","引起爭議","The artist's latest installation **provoked** a lot of **controversy** in the art world.","","recognition"
"legal ground for to V","n. phr.","做某事的法律依據/正當理由","The lawyer argued that there were no **legal grounds** to arrest his client.","** ground 通常用複數 grounds 指「理由|根據」","recognition"
"with flying colors","phr.","出色地；大獲全勝","She passed her driving test **with flying colors**.","** 常用於 pass the exam with flying colors","recognition"
"identify with","v. phr.","認同；對...產生共鳴","Readers often **identify with** the main character's struggle for freedom.","** 指對某人的情感或處境感同身受","recognition"
"at sea","phr.","茫然；不知所措","I’m all **at sea** with these new computer programs.","** 像是在海上迷失方向一樣無助","recognition"
"in the ballpark of","phr.","大約；大概的範圍","The cost for the new research equipment is **in the ballpark of** one million dollars.","** 原指球場範圍內，引申為預估的數字範圍","recognition"
"smoke-free","","無菸的","","** -free 結尾表示「沒有...的」","production"
"surrogate","n.","代理人；替代品","She served as a **surrogate** mother for the couple who couldn't conceive.","** surrogate mother (代孕母親)|surrogate for (某人的代理人)","recognition"
"That story won't wash","phr.","那個說法站不住腳/沒人會信","The boss told him that his excuse for being late **won't wash**.","** wash 在此指「能被接受|經得起檢驗」","recognition"
"launch a boycott","v. phr.","發起抵制","Environmental groups **launched a boycott** against the company for polluting the river.","** launch (啟動) + boycott (聯合抵制行動)","recognition"
"call into question","v. phr.","提出、引起質疑","The failure of the experiment **calls into question** the validity of the entire theory.","** 將某事帶入受質疑的狀態","recognition"
"warping","n./v.","彎曲；變形","Heat can cause **warping** in wooden doors, making them difficult to close.","** 指因熱或壓力導致的形狀扭曲","recognition"
"go after","v. phr.","追求；追捕","The police decided to **go after** the suspect through the dark alley.","** go after a dream|go after a criminal","recognition"
"mariner","n.","水手；船員","The ancient **mariner** used the stars to navigate the vast ocean.","** 現在較常用於文學或歷史背景","recognition"
"address concerns of","v. phr.","處理...的擔憂；回應...的訴求","The mayor held a meeting to **address the concerns of** local residents.","** address 在此動詞意為「處理；應對」","recognition"
"come to terms with","v. phr.","達成和解；接受（不快的事實）","It took her a long time to **come to terms with** the death of her pet.","** 常指在心理上接受不幸的處境","recognition"
"temporal consistency","n. phr.","時間連貫性","Video AI must maintain **temporal consistency** to prevent flickering between frames.","** 常見於影像處理或 AI 領域，指影格間的穩定度","recognition"
"stands as a powerful testament that...","","有力地證明了...","","** testament (證明|證據)；比 proves that 高級許多","production"
"be devoid of","phr.","缺乏；全然沒有","The desert landscape seemed completely **devoid of** any life.","** 強調「完全沒有」的狀態","recognition"
"cardiac arrest","n.","心跳停止；心臟驟停","The runner collapsed from **cardiac arrest** just meters from the finish line.","** go into cardiac arrest","recognition"
"Experts warn that...","","專家提出警告 (現狀/事實)","","** 描述常態性事實或現狀，建議使用現在式 warn","production"
"keep a straight face","v. phr.","憋住笑；保持表情嚴肅","It was hard to **keep a straight face** when my brother started dancing clumsily.","** 指想笑卻必須忍住的樣子","recognition"
"squeak","n./v.","吱吱叫聲；嘎吱聲","The old wooden door opened with a loud **squeak**.","** 常指老鼠叫聲或金屬|木頭摩擦聲","recognition"
"be on the horizon","phr.","即將發生；在望","Scientists believe that a cure for this disease may **be on the horizon**.","** 指某事即將出現或發生","recognition"
"self-assessment","","自我檢視；自省","","** assess (評估) -> assessment (名詞)","production"
"circular pedestal","n.","圓形基座","The statue was placed on a **circular pedestal** in the center of the hall.","** pedestal (底座；基座)","recognition"
"chauvinist","n.","大男人主義者；沙文主義者(盲目愛國者)","His **chauvinist** attitude towards his female colleagues was widely criticized.","** male chauvinist (大男人主義)；也指極端的愛國主義","recognition"
"frontier","n.","邊疆；邊界；(學問的)前沿","AI researchers are constantly pushing the **frontier** of what machines can understand.","** the frontier of knowledge|science","recognition"
"dress code","n.","穿著守則；著裝規範","The company has a strict **dress code** that requires employees to wear business suits.","** follow|observe the dress code","recognition"
"affiliative","adj.","親和的；聯繫性的","Laughter is an **affiliative** behavior that helps strengthen social bonds.","** 在心理學或社會學中，指旨在建立聯繫的行為","recognition"
"tiller","n.","舵柄；耕耘機","The sailor gripped the **tiller** firmly to keep the boat on course.","** 指控制船舵的柄","recognition"
"borrow ... from","","向...借...","","** borrow (借入)；固定搭配 from","production"
"wear on","v. phr.","(時間) 慢慢流逝","As the hours **wore on**, I became increasingly bored with the lecture.","** 常帶有「時間過得很慢且讓人不耐煩」的感覺","recognition"
"evoke","v.","喚起；引起","The old photographs **evoked** memories of her childhood in the countryside.","","recognition"
"be supportive of","","支持...","","** supportive (支持的)；介係詞用 of","production"
"as + 助動詞 + 主詞","grammar","也... (倒裝用法)","Many students love physics, **as do** the professors in the department.","** 這是正式書寫中的倒裝句，代表前面提到的情況也適用於後者","recognition"
"At a cursory glance","","粗略一看；乍看之下","","** cursory (草率的|粗略的)","production"
"entrenched","adj.","entrenched [adj.]","It is difficult to change **entrenched** habits that have been formed over decades.","** entrenched sexism (根深蒂固的性別歧視)|**  (develop bad habits)","recognition"
"oppose / be against / object to","","反對","","** oppose 後接受詞；object 後接 to + N.|Ving","production"
"bully one's way back into the limelight","","強行重回鎂光燈焦點","","** bully one's way (強行開路)","production"
"forensic","adj.","法醫的；法庭的","**Forensic** evidence was used to identify the suspect in the criminal case.","** forensic science (法醫科學)","recognition"
"culinary","adj.","烹飪的；廚房的","She decided to pursue her **culinary** interests by attending a chef's school.","** culinary skills|culinary arts","recognition"
"wear away","v. phr.","逐漸磨損；侵蝕","The wind and rain have **worn away** the inscriptions on the old tombstone.","","recognition"
"record-breaking","","破紀錄的","","** 形容詞，常用於運動或數據表現","production"
"step down","v. phr.","下台；辭職","The CEO decided to **step down** after the company's financial scandal was revealed.","** 指從重要職位退位","recognition"
"dole out","v. phr.","發放；施捨","The charity began to **dole out** food and blankets to the refugees.","** 常指少量分發或例行性發放","recognition"
"cast doubt on","v. phr.","使人對...產生懷疑","New evidence has **cast doubt on** the witness's original testimony.","** 字面意為「在...上投下陰影(懷疑)」","recognition"
"in the wake of","phr.","緊接在...之後；作為...的結果","New security measures were implemented **in the wake of** the terrorist attack.","** 常用於描述災難或重大事件後的後續情況","recognition"
"reap a profit from sth.","v. phr.","獲利；賺取利潤","Investors hope to **reap a** significant **profit** from the new tech startup.","** reap 原指「收割」，在此比喻獲得結果|** reap the rewards","recognition"
"revoke","v.","撤銷；廢除","The driver's license was **revoked** after he was caught driving under the influence.","** 指正式取消某種權利、法律或許可證|** revoke a license|revoke a law","recognition"
"verge on","phr.","接近於；瀕於","His obsession with cleanliness **verges on** a mental disorder.","** 指某狀況接近某種極端境界","recognition"
"the Seven Wonders of the World","","世界七大奇景","","","production"
"ostensible","adj.","表面上的；假稱的","Their **ostensible** goal was to clean the beach, but they really just wanted to hang out.","** 指表面名義與實際動機不符","recognition"
"be shrouded in","v. phr.","被...壟罩；遮蓋","The mountain peaks **were shrouded in** mist all morning.","** shroud (n. 裹屍布；v. 遮蔽)","recognition"
"wear out","v. phr.","用到壞；累垮","The kids **wore out** their shoes within a few months of playing soccer.","","recognition"
"reached a stalemate","v. phr.","陷入僵局","The negotiations **reached a stalemate** when neither side would compromise.","** 原指西洋棋中的和局僵持狀態","recognition"
"whine","n./v.","哀鳴聲；抱怨","The dog let out a long **whine** because it wanted to go for a walk.","** 指高頻率的哀鳴或令人厭煩的抱怨","recognition"
"see eye to eye","v. phr.","意見一致","They don't always **see eye to eye** on political issues.","** see eye to eye with someone (與某人見解相同)","recognition"
"half a day","","半天","","** 英文慣用法，指半天的時間","production"
"avatars","n.","(網路)化身；虛擬角色","In the metaverse, people interact through digital **avatars** that represent their personalities.","** 指在遊戲或虛擬世界中代表自己的圖像或人物","recognition"
"overhaul","v./n.","徹底檢修；大改造","The government plans to **overhaul** the healthcare system to improve efficiency.","** 指對系統或機器進行全面檢查與翻修","recognition"
"Not to be outdone","","不甘示弱","","** 常置於句首，用逗號隔開，表示「為了不被比下去」","production"
"replete with","adj. phr.","充滿；裝滿（各種事物）","The historical novel is **replete with** fascinating details about the Qing Dynasty.","","recognition"
"instigate","v.","煽動；著手進行；發起","The government has promised to **instigate** an inquiry into the cause of the crash.","** 常指發起計畫、調查或煽動叛亂","recognition"
"airwaves","n. pl.","無線電波；廣播頻道","The president's speech was broadcast over the **airwaves** nationwide.","** take to the airwaves (在廣播|電視上發表)","recognition"
"paleontologist","n.","古生物學家","The **paleontologist** spent months excavating the dinosaur fossils.","** paleo- (古) + onto- (存在) + -logist","recognition"
"global village","","地球村","","** 描述全球化聯繫緊密的世界","production"
"be at odds with","phr.","與...不和；與...衝突","His behavior **is at odds with** the principles he claims to support.","** 指兩者想法、利益或事實產生分歧","recognition"
"remote","adj.","(可能性) 極小；偏僻的","The **probability** of winning the lottery remains **remote**.","** 常用於 a remote possibility|remote chance","recognition"
"augmented","adj.","增強的；擴張的","The surgeon used **augmented** reality to guide the complex operation.","** Augmented Reality (AR) 擴增實境","recognition"
"suffice to","v. phr.","足以...","A simple ""thank you"" will **suffice to** show your appreciation.","** suffice to say (足以說明；只需說...就夠了)","recognition"
"innards","n.","內臟；內部結構","The mechanic had to take apart the engine to fix its **innards**.","** 常用於口語，指機器或生物的內部","recognition"
"soaring","adj.","高聳的；翱翔的","The **soaring** rock formations in the Grand Canyon are a magnificent sight.","** soaring prices (飆升的物價)|soaring mountains (高聳的山山)","recognition"
"be absorbed in","","全神貫注於...","","** absorbed (被吸收的|極感興趣的)","production"
"flummoxed","adj.","困惑的；不知所措的","The students were completely **flummoxed** by the difficult exam questions.","","recognition"
"antagonist","n.","對手；反面人物","The hero must face a powerful **antagonist** to save the city.","** 在文學中指主角 (protagonist) 的對手","recognition"
"gave away","v. phr.","洩漏；露出破綻","The perceptual tells that once **gave away** synthetic voices have largely disappeared.","** 這裡指「揭露了真實身分(破綻)」，而非贈送","recognition"
